Project,Product,Component,Found,Severity,ISSS,ISOIB,DDTS,Title,RNE,Description,PSIRT
CSC.embu,click-ap,ap-flex,customer-use,2,0,0,CSCve57907,COS AP allows unauthorized client association for SSID using MAC filtering," Symptom: A vulnerability in Connected Mode Flexconnect Local Switching Central Authentication for the Aironet 1500 Series  Access Points, Aironet 1800 Series Access Points, Aironet 2800 Series Access Points and Aironet 3800 Series Access Points could allow an unauthenticated adjacent attacker to allow an unauthorized client association for the Service Set Identifier (SSID).  The vulnerability is due to a specific configuration of MAC Filtering and Central Authentication and how authentication  timeouts from the authentication server are handled. An attacker could exploit this vulnerability by trying to authenticate  to the device. An exploit could allow the attacker to form an unauthorized client association if the authentication server  failed to respond in time to the authentication request.  Conditions: The device is configured for Connected Mode Flexconnect Local Switching Central Authentication, SSID with MAC Filtering with an external authentication server which is dropping or not responding to the  3802 or 2802 connected mode Flexconnect local switching central authentication, SSID using  just MAC filtering with an external authentication server which can timeout and not respond to the authentication  request.  Workaround: None.  Further Problem Description: None.  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 3 score. The Base CVSS score as of the time of evaluation is 3.1: https://tools.cisco.com/security/center/cvssCalculator.x?version=3.0&vector=CVSS:3.0/AV:A/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N/E:X/RL:X/RC:X  No CVE ID has been assigned to this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","Connected mode COS AP set as flexconnect local switching, central authentication allows unauthorized client association and traffic."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.sys,all,ip,customer-use,3,0,0,CSCur68386,ASR crash at addnew," $$IGNORE-PSIRT  CISCO HIGHLY CONFIDENTIAL - CONTROLLED ACCESS  This issue is under review by the Cisco Product Security Incident Response team (PSIRT).  The defect describes a product security vulnerability.  Its contents must be protected from unauthorized disclosure, both internal and external to Cisco.  Do not forward this information to mailing lists or newsgroups.  Documentation writers: it is prohibited to publish this Release-note  Enclosure (RNE) until the content has been approved by PSIRT.  PSIRT may  publish a Security Advisory regarding this defect, and the current text of  this RNE will be replaced with appropriate information.  In the event that  a Security Advisory is not published, PSIRT will replace this text with an  appropriate explanation.  More information on PSIRT is available at http//psirt.cisco.com/.   Cisco's public policy on security vulnerability handling can be reviewed at  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html. For further information, send a message to psirt@cisco.com.  (srasovic-09/30/15)Symptom: ASR1002-x  seg fault crash   UNIX-EXT-SIGNAL: Segmentation fault(11), Process = IOSXE-RP Punt Service Process  Conditions: this is seen on a ASR1002-x running 15.3(3)S2  Workaround:  Further Problem Description:","Exception to IOS Thread:Frame pointer 0x7F68EC7CCA70, PC = 0x21A184CUNIX-EXT-SIGNAL: Segmentation fault(11), Process = IOSXE-RP Punt Service Process-Traceback= 1#774977074def686f1c6a3bfefed59cfc  :400000+1DA184C :400000+1DA1689 :400000+1DA1139 :400000+6CD80A5 :400000+6CD70A9"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.embu,mse,platform,customer-use,3,0,0,CSCvf36237,CMX 10.3.1 Multiple Web server Vulnerabilities discovered with Nessus scan," Symptom: A vulnerability in the web interface of the Cisco Mobility Services Engine could  allow an unauthenticated remote attacker to affect the integrity of the device via a Clickjacking or Phishing attack.  The vulnerability is due to the lack of proper input sanitization of iFrame data within  the HTTP requests sent to the device. An attacker could exploit this vulnerability by  sending crafted HTTP packets with malicious iFrame data. An exploit could allow the  attacker to perform a Clickjacking or Phishing attack where the user is tricked into  clicking on a malicious link. Protection mechanisms should be used to prevent against  this type of attack.  Conditions: Device running with default configuration running an affected version of software.  Workaround: None  Further Problem Description: More information can be found at:  https://www.owasp.org/index.php/Clickjacking  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution  channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ",Using tenable network security agent (nessus 5.1.0) for  scanning CMX 10.3.1 following web server vulnerabilities are found: 1) Web Application Potentially Vulnerable to Clickjacking 2) Web Application Information Disclosure," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.voice,cra,engine,customer-use,3,0,0,CSCvg95131,UCCX embedded engine tomcat running on port 9080 vulnerable to CVE-2013-4444, Symptoms: Cisco Unified Contact Center Express includes a version of  Apache Tomcat that is affected  by the vulnerabilities identified by the following Common Vulnerability and Exposures (CVE) IDs:   CVE-2013-4444  This bug was opened to address the potential impact on this product.  Conditions: Device with default configuration.  Workaround: Not currently available.  Further Problem Description: Additional details about the vulnerabilities listed above can be found at  http://cve.mitre.org/cve/cve.html or https://nvd.nist.gov/vuln/detail/CVE-2013-4444  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score.  The Base CVSS score as of the time of evaluation is 6.8: https://tools.cisco.com/security/center/cvssCalculator.x?version=2.0&vector=CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P  CVE ID CVE-2013-4444 has been assigned to document this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html,UCCX embedded engine tomcat running on port 9080 vulnerable to CVE-2013-4444Browsing http://<FQDN or IP Address>:9080 - The error page says tomcat is using version 7.0.20," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.sys,all,accsw-ease-of-use,customer-use,2,0,0,CSCvd36820,Smart Install client feature should auto-disable when not in use," Symptoms: This is a modification on the product to adopt new secure code best practices to enhance the security posture and resiliency of the product.  Conditions: Device configured with default configuration.  Workaround: Disable the Smart Install feature manually using the ino vstack/i configuration command immediately after initial installation, if this feature is not used in your network.  Otherwise follow the Recommendations here: https://tools.cisco.com/security/center/content/CiscoSecurityResponse/cisco-sr-20170214-smi   Further Problem Description: This issue was found during an internal security audit of the product.  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html","The Smart Install client feature should auto-disable after boot-up as soon as the switch detects that zero-touch deployment isn't used, i.e. when the switch is unable to detect a Smart Install director after an as short as possible period of time (whatever is the maximum time deemed necessary for a switch to detect an active Smart Install director in a network after boot-up).Respective messages need to be printed to console and syslog."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.sys,all,aaa,customer-use,3,0,0,CSCee13768,TCP session (port49) for TACACS server doesnt close," A Tacacs+ TCP session (which uses port 49) isn't closed after the Authorisation phase and may remain in a CLOSEWAIT state indefinitely.  This causes an increase of open TCP sessions on the catalyst switch related to the number of established connections.  This symptom can be observed with with the command show tcp briefno :  access-server#sh tcp brief TCB       Local Address           Foreign Address        (state) 63F6D0F8  10.0.224.30.11231       10.0.128.131.49        CLOSEWAIT  Conditions: A switch is configured to authenticate and authorize users with a TACACS  server.  Also, there maybe ping loss to and from ip addresses that are on the vlan  interfaces.   In the order of one percent or a little more.   Workaround: The command clear tcp tcbnoCmdArgTCB  address noCmdArg may be used to clear these tcp connections.     ","Customer is experiencing the issue described in CSCea08706 but in a cat3550 running 12.1EA version.I'm opening this DDTS to have this issue address on 12.1EA as well.TCP sessions opened with TACACS sever for authorization remain in closewait.sw01.lnd#sh tcp briefTCB       Local Address           Foreign Address        (state)012D5E10  sw01.lnd.nv.net..11001  netmon.netvision.48    CLOSEWAIT011B04BC  sw01.lnd.nv.net..11000  gi1-0.brdr1.lnd..179   ESTAB012DAEE0  sw01.lnd.nv.net..11014  netmon.netvision.48    CLOSEWAIT012D50EC  sw01.lnd.nv.net..22     netmon.netvision.43148 TIMEWAIT01306AB4  sw01.lnd.nv.net..22     netmon.netvision.43581 ESTAB00F83CCC  sw01.lnd.nv.net..11020  netmon.netvision.48    CLOSEWAIT012D28BC  sw01.lnd.nv.net..11031  netmon.netvision.48    CLOSEWAITIf I try 'clear tcp tcb' it moves the connection to CLOSE:sw01.lnd#clear tcp tcb 012D5E10[confirm] [OK]sw01.lnd#sw01.lnd#sh tcp briefTCB       Local Address           Foreign Address        (state)012D5E10  sw01.lnd.nv.net..11001  netmon.netvision.48    CLOSEDCustomer tested with 12.1(20)EA1 which also has the problem.Switches with older code, 12.1(14)EA1 did not have this problem."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.sys,asr1k,asr1k-nat,customer-use,2,0,0,CSCut43999,Non-PATable Binds not Freed from Allocation Table," $$PREFCS  Symptom: pap entries showing up in laddr-per-gaddr list but not showing up in general pap list.  Conditions: As long as  there is one flow associated with such a bind, the address will not be freed. These addresses will be present within the output of  [show platform ha qfp active feature nat datapath pap laddrpergaddr], but not seen via the [show platform ha qfp active feature nat datapath pap] command.  Workaround: To rectify this issue the NAT translation table will have to be cleared upon exhaustion via a [clear ip nat translation *] command.  Further Problem Description:  ","On  ASR1000 device running 15.3(3)S4 non-PATable binds are not freed from allocation table.If the number of non-PATable binds increase this could gradually use up all free NAT addresses resulting in exhaustion of allocation pool.As long as  there is one flow associated with such a bind, the address will not be freed. Even if there is only one addresses from the pool used for each such bind. Resulting in the following error message: %IOSXE-6-PLATFORM: SIP0: cpp_cp: QFP:0.0 Thread:038 TS:00007589280159302377 %NAT-6-ADDR_ALLOC_FAILURE: Address allocation failed; pool 1 may be exhaustedThese addresses will be listed in the  pap_galloc_hash (sh platform ha qfp active feature nat datapath pap laddrpergaddr) but not in the pap_hash (sh platform ha qfp active feature nat datapath pap) as the entry in the pap_galloc_hash should be decremented whenever an entry is removed  from the pap_hash.  The entry in the pap_galloc_hash should be removed when the reference count goes to zero.gsb-nat-asr#show platform hardware qfp active fea na data pap 142.244.5.41 0gsb-nat-asr#show platform hardware qfp active fea na data pap 142.244.5.54 0gsb-nat-asr#show platform hardware qfp active fea na data pap 142.244.5.64 0gsb-nat-asr#sh platform ha qfp active feature nat datapath pap laddrpergaddrgaddr 142.244.5.41 vrf 0 laddr-per-gaddr 89 mapid 1gaddr 142.244.5.54 vrf 0 laddr-per-gaddr 8 mapid 1gaddr 142.244.5.64 vrf 0 laddr-per-gaddr 137 mapid 1To rectify this issue the NAT translation table will have to be cleared upon exhaustion via a [clear ip nat translation *] command."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.embu,click-ap,ap-dot11-mvl,customer-use,2,0,0,CSCvf47902,reassociation req replay causes AP to restart IV counter -ap-cos, $$PREFCS  Symptom:  Conditions:  Workaround:  Further Problem Description:  ,"The attack has the following scenario:1. Client associates to AP1 to WLAN with 802.11FT enabled2. Client roams to AP2 using FT, using reassociation req3. AP2 sends some traffic to client, I IV starts from 14. Attacker does a packet reply, with the last re association request seen over the air5. AP2 now sends traffic to client, using repeated IV for IOS AP, it  will reuse last IV after few retries,For Cheetah APs, it will restart from zero, see attached capturesas per RFC, the reuse of IV for CCB protocols is a severe security issuehttps://tools.ietf.org/html/rfc4309#page-8"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.general,mcu,application,customer-use,3,0,0,CSCvd38399,To disable 3DES cipher suite on MCU," Symptom: This is a modification on the product to adopt new secure code best practices to enhance  the security posture and resiliency of the Cisco TelePresence MCU 4200 Series, 4500 Series,  5300 Series, MSE 8420, and MSE 8510.  The 3DES cipher suite will be disabled.  Conditions: Device with default configuration.  Workaround: Not currently available.  Further Problem Description: None.  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution  channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","To disable 3DES cipher suite on MCUSR: 681591232 Customer: CISCO SYSTEMS INCComponent: MCU 5320Version: 4.5(1.89) One of the customers reported that their Tenable Nessus security scanner shows the following vulnerability for the customer's MCU 5320: ;SSL Medium StrengthCipher Suites Supported, Plugin ID 42873.; This vulnerability is documented in https://www.tenable.com/plugins/index.php?view=single&id=42873. SWEET32 Mitigation (CVE-2016-2183)==================================Severity: LowSWEET32 (https://sweet32.info) is an attack on older block cipher algorithms that use a block size of 64 bits. In mitigation for the SWEET32 attack DES basedciphersuites have been moved from the HIGH cipherstring group to MEDIUM in OpenSSL 1.0.1 and OpenSSL 1.0.2.  OpenSSL 1.1.0 since release has had theseciphersuites disabled by default.I think the problem here is that the MCU still supports 3DES ciphers as of 4.5(1.89). OpenSSL only moved 3DES to their medium list but it's still in default in1.0.1. So We should probably turn off 3DES ourselves in next MR."," PSIRT-owner: psirt           PSIRT is reviewing this issue for possible inclusion in a Cisco Security  Advisory which could include this DDTs.  Please do not change the  Release-note Enclosure, as PSIRT will modify it appropriately when this  issue is made public.          Should customers request information regarding this DDTs or appear to be running into this DDTs within their network, please bring it to the immediate attention of the Cisco PSIRT at psirt@cisco.com."
CSC.nuova,oregon-2,netstack-ipv6,customer-use,3,0,0,CSCud33977,$ VDC-1 %$ %NETSTACK-2-MPULLUP:  netstack message seen during csdl test, $$IGNORE,"%$ VDC-1 %$ %NETSTACK-2-MPULLUP:  netstack [3402]  udp6_input: m_pullup failed for UDP, error Operation not permitted   message seen during VTP test ;isic6 -s rand -d 2001:1:1:250::5 -r 31916;This test is part of security testing, and isic is a security test tool, which checks stability of IP- Stack  and component stacks (TCP, UDP, ICMP etc). This sends malformed packets to target (Nexus-N5k), and checks stability of target device. Steps to Repro:1: Load the N5k with latest hardboad image2: configure N5K as per ;sh run; attachment3: Run the test from psec server (itc-psec-server1)isic6 -s rand -d 2001:1:1:250::5 -r 13311"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.sys,all,esg-dp-infra,customer-use,2,0,0,CSCvg89036,uCode crash observed when processing return packet in SIP ALG," $$IGNORE-PSIRT  Symptom: A CPP microcode crash may be observed during normal operation. This will result in a router reboot or a dataplane switchover, depending on whether the router in question is equipped with dataplane redundancy.  Conditions: NAT must be enabled and SIP traffic must be processed with SIP ALG. A specific scenario where this was observed was while processing a 200 OK response to a SIP REGISTER, though it is believed there are additional conditions necessary to see the problem.  Workaround: Crash can be prevented if SIP traffic is blocked across the router.  Crash can also be prevented by disabling SIP ALG with the following commands: - no ip nat service sip udp port 5060 - no ip nat service sip tcp port 5060  Disabling SIP ALG may have some impact to transit SIP traffic, if modification of SIP message parameters by NAT is needed for proper functionality.  If the above items are not feasible in the environment, no other workarounds are known at this time.  Further Problem Description:  ","Customer saw at least six ucode crashes on a Juno box (4431) which were triggered while processing a packet with SIP ALG. In all core files, the packet in question is a response to a SIP REGISTER.This has since been reproduced on 3.16.5, 3.16.6 and 16.6.2 by creating a forward NAT translation and then sending back the packet extracted from GPM in the cores."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.datacenter,n9k-standalone-sw,iapi,customer-use,3,0,0,CSCvh01251,Nginx Vulnerabilities on Nexus 9000 Switches," Symptom: Cisco Nexus 9000 Series Switches  includes a version of nginx that is affected by the vulnerabilities identified by the following Common Vulnerability and Exposures (CVE) IDs:   CVE-2016-0746, CVE-2016-4450, CVE-2016-0747, CVE-2016-0742, CVE-2017-7529  This bug was opened to address the potential impact on this product.  Conditions: Device with default configuration.  Workaround: Not currently available.  Further Problem Description: Additional details about the vulnerabilities listed above can be found at  http://cve.mitre.org/cve/cve.html  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 3 score. The Base CVSS score as of the time of evaluation is 7.5: https://tools.cisco.com/security/center/cvssCalculator.x?version=3.0&vector=CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N/E:X/RL:X/RC:X  CVE ID CVE-2016-0746, CVE-2016-4450, CVE-2016-0747, CVE-2016-0742, CVE-2017-7529 has been assigned to document this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ",Nginx Vulnerabilities on Nexus 9000 SwitchesCVE-2016-0746  nginx CNAME Response Processing Use-After-Free Denial of Service Vulnerabilityhttps://tools.cisco.com/security/center/viewAlert.x?alertId=47074nginx versions 0.6.18 through 1.9.9 are vulnerable.CVE-2016-4450  nginx Client Request Body Save Denial of Service Vulnerebilityhttps://tools.cisco.com/security/center/viewAlert.x?alertId=46493nginx versions 1.3.9 through 1.11.0 are vulnerable. CVE-2016-0747  nginx CNAME Resolution Denial of Service Vulnerabilityhttps://tools.cisco.com/security/center/viewAlert.x?alertId=47075nginx versions 0.6.18 through 1.9.9 are vulnerable.CVE-2016-0742  nginx DNS Server Response Processing Denial of Service Vulnerabilityhttps://tools.cisco.com/security/center/viewAlert.x?alertId=47073nginx versions 0.6.18 through 1.9.9 are vulnerable.CVE-2017-7529 ;nginx range filte;," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.sys,all,nat,customer-use,3,0,0,CSCtn53730,Router resets with NAT of certain DNS over TCP traffic,"  Symptom:   The Cisco IOS Software implementation of the network address translation (NAT) feature contains three vulnerabilities when translating IP packets that could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition.Cisco has released free software updates that address these vulnerabilities. Workarounds that mitigate these vulnerabilities are not available.  This advisory is available at the following link:  http://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20130925-nat Conditions: See PSIRT Security Advisory.  Workaround See PSIRT Security Advisory.  Further Problem Description: See PSIRT Security Advisory.  PSIRT Evaluation: Cisco has released free software updates that address this vulnerability. Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html   Note: The September 25, 2013, Cisco IOS Software Security Advisory bundled publication includes eight Cisco Security Advisories. All advisories address vulnerabilities in Cisco IOS Software. Each Cisco IOS Software Security Advisory lists the Cisco IOS Software releases that correct the vulnerability or vulnerabilities detailed in the advisory as well as the Cisco IOS Software releases that correct all Cisco IOS Software vulnerabilities in the September 2013 bundled publication.  Individual publication links are in ""Cisco Event Response: Semiannual Cisco IOS Software Security Advisory Bundled Publication"" at the following link:  http://www.cisco.com/web/about/security/intelligence/Cisco_ERP_sep13.html   ","A router running 15.1(3)T, with the following enhancement crashes with a bus error:CSCta21434    Feature : TCP NAT-ALG segmentation modularization The bus error displays the following decodes:/release/151/sym/151-3.T/c3825-adventerprisek9-mz.151-3.T.symbols.gz read inEnter hex value: 0x64E71F2Cz 0x629FD1A4z 0x629FBA84z 0x62EC3FA4z 0x628FBEE4z 0x628FC668z 0x62EBC830z 0x629F1800z 0x629E92DCz 0x626A02D4z 0x62EBBDA4z 0x62EC7560z 0x62EC7DD0z 0x628FBCE0z 0x62687354z 0x62687680z 0x64E71F2C:bc_loop2(0x64e71f28)+0x40x629FD1A4:tcp_putstring(0x629fd08c)+0x1180x629FBA84:tcp_write_common(0x629fba4c)+0x380x62EC3FA4:l4f_send(0x62ec3a30)+0x5740x628FBEE4:ipnat_tcp_alg_write(0x628fbe0c)+0xd80x628FC668:ipnat_tcp_alg_write_notify(0x628fc5c8)+0xa00x62EBC830:l4f_tcp_write_notify_cb(0x62ebc620)+0x2100x629F1800:tcp_wakeup_process(0x629f17bc)+0x440x629E92DC:tcp_inputsegment_with_tcb(0x629e6d9c)+0x25400x626A02D4:ipv4_tcp_input_with_tcb(0x626a00f8)+0x1dc0x62EBBDA4:l4f_proxying(0x62ebbbec)+0x1b80x62EC7560:l4f_packet_interception(0x62ec64c8)+0x10980x62EC7DD0:l4f_process_ipv4_feature_check(0x62ec7cd8)+0xf80x628FBCE0:IP_FEATURE_OUT_NAT_ALG_l4f_proc_ipv4_out_feat_check(0x628fbcc8)+0x180x62687354:ip_process_output_feature_loop(0x62687260)+0xf40x62687680:ip_process_check_output_features(0x6268749c)+0x1e4The presence of the poison pattern indicates that there is some form of memory corruption occurring.  See TAC-analysis enclosure for additional details."," PSIRT-owner: juagonza           This issue is being considered for possible inclusion in a Security Advisory even though the Release-note Enclosure is already visible to customers.  Please do not further change the Release-note Enclosure;  PSIRT will modify it appropriately at a later date.          Do not provide customers with any information beyond what is currently contained in the Release-note Enclosure.          Should customers appear to be running into this DDTs within their network,  please bring it to the immediate attention of the Cisco PSIRT  at psirt@cisco.com."
CSC.netbu,ssp,mio-compliance,integration,3,0,0,CSCus72221,[Vulnerability]: Some modules of httpd vulnerable (Nexpose scan), $$PREFCS  Symptom: Cisco Unified Computing System (UCS) includes a version of Apache SSL that is affected by the vulnerabilities identified by the following Common Vulnerability and Exposures (CVE) IDs:   CVE-2002-0082  This bug was opened to address the potential impact on this product.  Conditions: Device with default configuration.  Workaround: Not currently available.  Further Problem Description: Additional details about the vulnerabilities listed above can be found at http://cve.mitre.org/cve/cve.html  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are 7.5/7.1: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:L/Au:N/C:P/I:P/A:P/E:F/RL:U/RC:C&version=2.0 CVE ID CVE-2002-0082 has been assigned to document this issue. Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html   ,"Apache HTTPD: mod_log_config crash (CVE-2014-0098)Problem Statement : mod_ssl/2.2.25 appears to be outdated in a ssp box. The version has to be atleast at least 2.8.31Steps:================================Ran a VTP scan on ssp box and found out that mod_ssl/2.2.25 OpenSSL/FIPS - mod_ssl 2.8.7 and lower are vulnerable to a remote buffer overflow which may allow a remote shell (difficult to exploit). CVE-2002-0082, OSVDB-756.Please find the attached vtp logs for the sameScript Name : vtp-web-defect.tclNote : With the nexpose tool ran with scan option;;Full scan with no Web spider ;, could see the below HTTPd Vulnerabilities .Apache HTTPD: mod_deflate denial of service (CVE-2014-0118)		Apache HTTPD: mod_cgid denial of service (CVE-2014-0231)			Apache HTTPD: mod_status buffer overflow (CVE-2014-0226)Apache HTTPD: HTTP Trailers processing bypass (CVE-2013-5704)Remotely Exploitable Buffer Overflow in mod_sslApache HTTPD: mod_dav crash (CVE-2013-6438)Attached Nexpose scan report for the same ."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
